generated_qwen3_4b_pdapt_slerp
"{""question1"": ""Quelle est la principale différence entre la sanction et l'indemnisation dans le cadre de la responsabilité des professionnels de santé?"", ""option_a1"": ""La sanction est réservée aux professionnels de santé, tandis que l'indemnisation peut être obtenue par les établissements de santé."", ""option_b1"": ""La sanction est une mesure pénale, tandis que l'indemnisation est une mesure civile."", ""option_c1"": ""La sanction est réservée aux professionnels de santé, tandis que l'indemnisation est réservée aux établissements de santé."", ""option_d1"": ""La sanction est une mesure disciplinaire, tandis que l'indemnisation est une mesure pénale."", ""correct_option1"": ""b"", ""question2"": ""Quel type de dommage peut être indemnisé en cas de défaut d'information?"", ""option_a2"": ""Une atteinte à l'intégrité physique uniquement."", ""option_b2"": ""Une perte de chance de survie ou de guérison."", ""option_c2"": ""Une perte de chance d'avoir échappé à un risque qui s'est finalement réalisé."", ""option_d2"": ""Une perte de chance de survie ou de guérison et une perte de chance d'avoir échappé à un risque qui s'est finalement réalisé."", ""correct_option2"": ""d""}"
"{""question1"": ""Quel type de responsabilité civile engagent les professionnels exerçant à titre libéral et les établissements de santé privés?"", ""option_a1"": ""Responsabilité civile devant les juridictions de l’ordre judiciaire"", ""option_b1"": ""Responsabilité civile devant les juridictions de l’ordre administratif"", ""option_c1"": ""Responsabilité civile devant les juridictions de l’ordre disciplinaire"", ""option_d1"": ""Responsabilité civile devant les juridictions de l’ordre pénal"", ""correct_option1"": ""a"", ""question2"": ""Quel est le régime de responsabilité des médecins salariés d’établissements, services ou organismes privés?"", ""option_a2"": ""Responsabilité civile personnelle"", ""option_b2"": ""Responsabilité civile collective"", ""option_c2"": ""Responsabilité civile du commettant"", ""option_d2"": ""Responsabilité civile du salarié"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la responsabilité engagée par un médecin hospitalier pour les actes qu'il réalise?"", ""option_a1"": ""La responsabilité civile personnelle du médecin"", ""option_b1"": ""La responsabilité pénale du médecin"", ""option_c1"": ""La responsabilité administrative de l'établissement public de santé"", ""option_d1"": ""La responsabilité disciplinaire du médecin"", ""correct_option1"": ""c"", ""question2"": ""Quelle est la typologie des fautes susceptibles d'engager la responsabilité du service public selon la jurisprudence administrative?"", ""option_a2"": ""La faute de service et la faute personnelle"", ""option_b2"": ""La faute de service et la faute dans l'organisation du service"", ""option_c2"": ""La faute dans l'organisation du service et la faute personnelle"", ""option_d2"": ""La faute de service et la faute dans le fonctionnement du service"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelle mesure de protection est temporaire et aux effets limités, permettant de traiter une situation en urgence lorsqu’une personne majeure risque des actes contraires à ses intérêts?"", ""option_a1"": ""La tutelle"", ""option_b1"": ""La curatelle"", ""option_c1"": ""La sauvegarde de justice"", ""option_d1"": ""La protection des mineurs"", ""correct_option1"": ""c"", ""question2"": ""Quelle mesure de protection est plus protectrice et permet à une autre personne de représenter la personne majeure à protéger dans les actes de la vie courante?"", ""option_a2"": ""La sauvegarde de justice"", ""option_b2"": ""La curatelle"", ""option_c2"": ""La tutelle"", ""option_d2"": ""La protection des mineurs"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel est le rôle du médecin traitant dans la procédure de mise en place d'une mesure de protection?"", ""option_a1"": ""Il rédige le certificat médical circonstancié."", ""option_b1"": ""Il désigne le tuteur ou le curateur."", ""option_c1"": ""Il assiste la personne à l'audition du juge."", ""option_d1"": ""Il signe la requête de protection."", ""correct_option1"": ""a"", ""question2"": ""Quel est le premier intervenant choisi par le juge pour désigner un tuteur ou un curateur?"", ""option_a2"": ""Le médecin traitant de la personne à protéger."", ""option_b2"": ""Le procureur de la République."", ""option_c2"": ""Le conjoint de la personne à protéger."", ""option_d2"": ""Le parent de la personne à protéger."", ""correct_option2"": ""d""}"
"{""question1"": ""Quel est le principal objectif de la loi Veil de 1975 concernant l'interruption volontaire de grossesse (IVG) en France?"", ""option_a1"": ""Permettre aux femmes de choisir leur mode de procréation"", ""option_b1"": ""Garantir un accès égal et sécurisé à l'IVG"", ""option_c1"": ""Interdire l'IVG pour des raisons éthiques"", ""option_d1"": ""Réduire le nombre d'IVG pratiquées"", ""correct_option1"": ""b"", ""question2"": ""Quel concept éthique est illustré par le droit à l'IVG en France?"", ""option_a2"": ""L'éthique de responsabilité de la profession médicale"", ""option_b2"": ""L'éthique de la non-malfaisance"", ""option_c2"": ""L'éthique de la justice sociale"", ""option_d2"": ""L'éthique de la bienfaisance"", ""correct_option2"": ""a""}"
"{""question1"": ""Quelles sont les deux conditions légales pour l'interruption médicale de grossesse (IMG)?"", ""option_a1"": ""La grossesse doit être à un terme supérieur à 24 semaines et la femme doit avoir un cancer."", ""option_b1"": ""La grossesse doit mettre en péril grave la santé de la femme ou il existe une forte probabilité que l'enfant à naître soit atteint d'une affection de particulière gravité reconnue comme incurable."", ""option_c1"": ""La grossesse doit être à un terme inférieur à 12 semaines et la femme doit avoir une infection."", ""option_d1"": ""La grossesse doit être à un terme supérieur à 12 semaines et la femme doit avoir une affection psychiatrique."", ""correct_option1"": ""b"", ""question2"": ""Quel est le rôle de l'équipe pluridisciplinaire lors d'une demande d'IMG pour motif médical?"", ""option_a2"": ""Elle décide de la poursuite ou non de la grossesse sans consultation de la femme."", ""option_b2"": ""Elle examine la demande de la femme et donne son avis après une procédure collégiale."", ""option_c2"": ""Elle pratique l'interruption de grossesse sans avis préalable."", ""option_d2"": ""Elle ne participe pas à la décision et laisse la femme décider seule."", ""correct_option2"": ""b""}"
"{""question1"": ""Quelle est la principale loi encadrant le diagnostic prénatal en France?"", ""option_a1"": ""Loi de bioéthique du 29 juillet 1994"", ""option_b1"": ""Loi du 17 janvier 1975"", ""option_c1"": ""Loi du 6 août 2004"", ""option_d1"": ""Loi de bioéthique du 29 juillet 2004"", ""correct_option1"": ""c"", ""question2"": ""Quel est le critère principal pour autoriser une interruption volontaire de grossesse pour motif médical (IMG) selon la loi française?"", ""option_a2"": ""Présence d'une maladie incurable chez le fœtus"", ""option_b2"": ""Présence d'une maladie grave chez le fœtus"", ""option_c2"": ""Présence d'une maladie grave chez la mère"", ""option_d2"": ""Présence d'une maladie grave chez le couple"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel est l'objectif principal du diagnostic préimplantatoire (DPI)?"", ""option_a1"": ""Éviter la transmission d'une maladie génétique chez les futurs parents"", ""option_b1"": ""Analyser le patrimoine génétique d'un embryon avant son transfert in utero"", ""option_c1"": ""Éviter l'épreuve du diagnostic prénatal et une éventuelle interruption de grossesse"", ""option_d1"": ""Permettre à des couples à risque élevé de transmettre une maladie génétique d'éviter l'épreuve du diagnostic prénatal et d'une éventuelle interruption de grossesse"", ""correct_option1"": ""b"", ""question2"": ""Quelle est la principale préoccupation éthique liée au typage HLA des embryons dans le cadre d'affections hématologiques?"", ""option_a2"": ""La possibilité de sélectionner des embryons immunologiquement compatibles avec un frère ou une sœur malade"", ""option_b2"": ""La recherche d'une compatibilité immunologique avec un aîné malade doit toujours venir en seconde position"", ""option_c2"": ""L'instrumentalisation éventuelle de la procréation"", ""option_d2"": ""L'absence de bénéfice direct pour l'embryon interdit ce type de procédure"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel principe éthique est mis en jeu lorsqu'un patient en fin de vie demande de ne pas être soulagé des douleurs qu'il ressent?"", ""option_a1"": ""Autonomie"", ""option_b1"": ""Bienfaisance"", ""option_c1"": ""Non-malfaisance"", ""option_d1"": ""Equité"", ""correct_option1"": ""c"", ""question2"": ""Quelle loi française a introduit la notion de directives anticipées pour les personnes en fin de vie?"", ""option_a2"": ""Loi Kouchner du 4 mars 2002"", ""option_b2"": ""Loi Clayes-Léonetti de 2016"", ""option_c2"": ""Loi de bioéthique de 2011"", ""option_d2"": ""Loi de santé publique de 2004"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelle est la principale nouveauté de la loi Clayes-Léonetti de 2016 par rapport à la loi Léonetti de 2005 concernant les directives anticipées?"", ""option_a1"": ""Les directives anticipées deviennent contraignantes pour les médecins."", ""option_b1"": ""Les directives anticipées ne peuvent plus être révisées ou révocées."", ""option_c1"": ""Les directives anticipées ne s'appliquent plus en cas d'urgence vitale."", ""option_d1"": ""Les directives anticipées ne s'appliquent plus si le patient est en phase terminale d'une affection grave et incurable."", ""correct_option1"": ""a"", ""question2"": ""Quel est le principe du double effet selon lequel la loi Clayes-Léonetti s'appuie pour justifier la sédation profonde et continue?"", ""option_a2"": ""Le principe du double effet permet de justifier l'administration d'antalgiques qui peuvent précipiter la mort."", ""option_b2"": ""Le principe du double effet permet de justifier l'arrêt de tous les traitements de maintien en vie."", ""option_c2"": ""Le principe du double effet permet de justifier la limitation des soins sans arrêt des traitements vitaux."", ""option_d2"": ""Le principe du double effet permet de justifier l'obstination déraisonnable en prolongeant la vie."", ""correct_option2"": ""a""}"
"{""question1"": ""Quelle est la première définition des soins palliatifs selon la circulaire du 26 août 1986?"", ""option_a1"": ""Soins visant à répondre aux besoins spécifiques des personnes parvenues au terme de leur existence"", ""option_b1"": ""Soins actifs et continus pratiqués par une équipe interdisciplinaire en institution ou à domicile"", ""option_c1"": ""Soins visant à soulager la douleur, apaiser la souffrance physique, sauvegarder la dignité de la personne malade et soutenir son entourage"", ""option_d1"": ""Soins visant à prolonger la vie d'une personne malade"", ""correct_option1"": ""a"", ""question2"": ""Quelle loi a introduit la notion de personne de confiance en France?"", ""option_a2"": ""Loi du 9 juin 1999"", ""option_b2"": ""Loi du 4 mars 2002"", ""option_c2"": ""Loi du 22 avril 2005"", ""option_d2"": ""Loi du 2 février 2016"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel est le principe éthique qui consiste à ne pas causer de préjudice par la recherche?"", ""option_a1"": ""Principe de bienfaisance"", ""option_b1"": ""Principe de non-malfaisance"", ""option_c1"": ""Principe d'autonomie"", ""option_d1"": ""Principe de justice"", ""correct_option1"": ""b"", ""question2"": ""Quel texte normatif établit une déontologie internationale sur l'expérimentation sur l'être humain?"", ""option_a2"": ""Code de Nuremberg"", ""option_b2"": ""Déclaration d'Helsinki"", ""option_c2"": ""Déclaration de Manille"", ""option_d2"": ""Directive européenne du 4 avril 2001"", ""correct_option2"": ""a""}"
"{""question1"": ""Quel est le principe éthique qui garantit que le don d'organes ne peut faire l'objet d'un droit patrimonial?"", ""option_a1"": ""Principe de gratuité"", ""option_b1"": ""Principe d'anonymat"", ""option_c1"": ""Principe de respect du corps humain"", ""option_d1"": ""Principe de consentement présumé"", ""correct_option1"": ""c"", ""question2"": ""Quel est le rôle de l'Agence de la Biomédecine (ABM) dans le système de don d'organes en France?"", ""option_a2"": ""Gestion de la liste d'attente et attribution des greffons"", ""option_b2"": ""Prélèvement des organes"", ""option_c2"": ""Dépistage des maladies transmissibles"", ""option_d2"": ""Sensibilisation du public"", ""correct_option2"": ""a""}"
"{""question1"": ""Quelle est la définition officielle de la mort encéphalique selon le décret n°96-1041 du 2 décembre 1996?"", ""option_a1"": ""Absence de conscience et d’activité motrice spontanée avec absence de réaction à la stimulation"", ""option_b1"": ""Absence de ventilation spontanée en épreuve d’hypercapnie"", ""option_c1"": ""Absence de circulation efficace montrée par une angiographie cérébrale"", ""option_d1"": ""Absence de tous les réflexes du tronc cérébral"", ""correct_option1"": ""b"", ""question2"": ""Quelle est la classification de Maastricht qui décrit les différentes catégories de patients en réanimation?"", ""option_a2"": ""Arrêt cardiaque, arrêt circulatoire avec massage cardiaque, limitation des thérapeutiques, mort encéphalique avec arrêt circulatoire irréversible"", ""option_b2"": ""Arrêt cardiaque, arrêt circulatoire avec ventilation mécanique, limitation des thérapeutiques, mort encéphalique avec arrêt circulatoire irréversible"", ""option_c2"": ""Arrêt cardiaque, arrêt circulatoire avec massage cardiaque, limitation des thérapeutiques, mort encéphalique avec arrêt circulatoire irréversible"", ""option_d2"": ""Arrêt cardiaque, arrêt circulatoire avec ventilation mécanique, limitation des thérapeutiques, mort encéphalique avec arrêt circulatoire irréversible"", ""correct_option2"": ""c""}"
"{""question1"": ""Qui peut être donneur vivant selon la loi de 2004?"", ""option_a1"": ""Le conjoint"", ""option_b1"": ""Les frères et sœurs"", ""option_c1"": ""Les fils et filles"", ""option_d1"": ""Les grands-parents"", ""correct_option1"": ""a"", ""question2"": ""Quel est le consentement requis pour un donneur vivant selon la loi?"", ""option_a2"": ""Consentement implicite"", ""option_b2"": ""Consentement verbal"", ""option_c2"": ""Consentement écrit et recueilli devant un magistrat"", ""option_d2"": ""Consentement par téléphone"", ""correct_option2"": ""c""}"
"{""question1"": ""Quels sont les principaux éléments du corps humain selon la définition donnée dans le texte?"", ""option_a1"": ""Les ongles, poils, dents et cheveux"", ""option_b1"": ""Le sang et ses composants, ainsi que les produits sanguins labiles"", ""option_c1"": ""Les organes, qui ne peuvent être utilisés que dans le cadre du don"", ""option_d1"": ""Les tissus ou les cellules, comprenant les cellules hématopoïétiques issues de la moelle osseuse, du sang de cordon ou placentaire, les tissus ou cellules embryonnaires ou fœtaux, de cellules du cordon et du placenta, les gamètes, etc."", ""correct_option1"": ""d"", ""question2"": ""Quel principe gouverne le don d'éléments et produits du corps humain selon le texte?"", ""option_a2"": ""Le consentement éclairé de la personne"", ""option_b2"": ""La non-patrimonialité"", ""option_c2"": ""L'anonymat"", ""option_d2"": ""La disponibilité des éléments et produits du corps humain"", ""correct_option2"": ""a""}"
"{""question1"": ""Quel facteur influence les représentations du corps en bonne santé selon les époques?"", ""option_a1"": ""Les traditions religieuses"", ""option_b1"": ""Les normes esthétiques"", ""option_c1"": ""Les habitudes alimentaires"", ""option_d1"": ""Les régimes de santé liés aux âges de la vie"", ""correct_option1"": ""c"", ""question2"": ""Quelle fonction du corps est mise en avant par Pierre Bourdieu selon les habitudes alimentaires?"", ""option_a2"": ""Marqueur de position sociale"", ""option_b2"": ""Apprentissage des habitudes de classe"", ""option_c2"": ""Mémoire"", ""option_d2"": ""Témoin d’inégalités entre les classes sociales"", ""correct_option2"": ""d""}"
"{""question1"": ""Quel est l'impact principal de la maladie sur l'expérience du corps selon le contenu éducatif?"", ""option_a1"": ""La maladie n'affecte que le corps physique sans impact sur l'identité."", ""option_b1"": ""La maladie modifie l'expérience du corps en affectant l'identité et les relations sociales."", ""option_c1"": ""La maladie n'affecte que les relations sociales sans impact sur l'identité."", ""option_d1"": ""La maladie n'affecte ni l'identité ni les relations sociales."", ""correct_option1"": ""b"", ""question2"": ""Quelle est la nature de la douleur selon le contenu éducatif?"", ""option_a2"": ""La douleur est uniquement un phénomène physique sans impact sur l'identité."", ""option_b2"": ""La douleur est un fait d'existence qui atteint l'identité et les relations sociales."", ""option_c2"": ""La douleur n'affecte que les relations sociales sans impact sur l'identité."", ""option_d2"": ""La douleur n'affecte ni l'identité ni les relations sociales."", ""correct_option2"": ""b""}"
"{""question1"": ""Quelle est la principale différence entre le corps vécu par le sujet et le corps objectivé par la médecine?"", ""option_a1"": ""Le corps vécu est uniquement subjectif, tandis que le corps objectivé est uniquement objectif."", ""option_b1"": ""Le corps vécu est perçu par le patient, tandis que le corps objectivé est perçu par le médecin."", ""option_c1"": ""Le corps vécu est influencé par des facteurs psychologiques, tandis que le corps objectivé est influencé par des facteurs physiques."", ""option_d1"": ""Le corps vécu est constant, tandis que le corps objectivé varie selon les techniques médicales utilisées."", ""correct_option1"": ""c"", ""question2"": ""Quel est l'impact des dispositifs techniques en médecine sur la manière de voir et concevoir les maladies?"", ""option_a2"": ""Ils n'ont aucun impact sur la manière de voir et concevoir les maladies."", ""option_b2"": ""Ils simplifient la manière de voir et concevoir les maladies."", ""option_c2"": ""Ils redéfinissent la manière de voir et concevoir les maladies."", ""option_d2"": ""Ils rendent la manière de voir et concevoir les maladies plus complexe."", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la définition de la protection sociale?"", ""option_a1"": ""L'ensemble des mécanismes de protection accordés par une société à ses membres pour leur permettre de faire face aux risques sociaux de l'existence et à leurs conséquences financières."", ""option_b1"": ""L'ensemble des mécanismes de protection accordés par une société à ses membres pour leur permettre de faire face aux risques sociaux de l'existence et à leurs conséquences financières, mais uniquement pour les personnes âgées."", ""option_c1"": ""L'ensemble des mécanismes de protection accordés par une société à ses membres pour leur permettre de faire face aux risques sociaux de l'existence et à leurs conséquences financières, mais uniquement pour les personnes en situation de handicap."", ""option_d1"": ""L'ensemble des mécanismes de protection accordés par une société à ses membres pour leur permettre de faire face aux risques sociaux de l'existence et à leurs conséquences financières, mais uniquement pour les personnes en situation de chômage."", ""correct_option1"": ""a"", ""question2"": ""Quelles sont les quatre logiques de protection sociale?"", ""option_a2"": ""Assurance sociale obligatoire, assistance sociale, protection universelle et prévoyances individuelle ou collective."", ""option_b2"": ""Assurance sociale obligatoire, assistance sociale, protection universelle et prévoyances individuelle ou collective, mais uniquement pour les personnes âgées."", ""option_c2"": ""Assurance sociale obligatoire, assistance sociale, protection universelle et prévoyances individuelle ou collective, mais uniquement pour les personnes en situation de handicap."", ""option_d2"": ""Assurance sociale obligatoire, assistance sociale, protection universelle et prévoyances individuelle ou collective, mais uniquement pour les personnes en situation de chômage."", ""correct_option2"": ""a""}"
