,id,question,option_a,option_b,option_c,option_d,correct_option
117,OIC-019-12-A,Quelles sont les conditions pour bénéficier d'une exonération du ticket modérateur pour une affection de longue durée (ALD) hors liste?,La maladie doit être inscrite sur la liste des 30 ALD,La maladie doit être grave ou invalidante avec un traitement prolongé et coûteux,Le patient doit avoir une polypathologie invalidante,Le patient doit avoir une maladie rare,b
118,OIC-019-12-A-,Quel est le rôle du médecin traitant dans l'établissement d'un protocole de soins ALD?,Il établit le protocole de soins seul,Il accompagne la demande du patient et établit le protocole en concertation avec les spécialistes,Il ne participe pas à l'établissement du protocole,Il établit le protocole de soins sans consulter les spécialistes,b
119,OIC-019-13-B,Quelle est la principale forme de prestation en espèces offerte par l'assurance maladie?,Remboursement des frais de santé,Indemnités journalières,Exonération du ticket modérateur,Capital décès,b
120,OIC-019-13-B-,Quelle est la condition pour bénéficier de l'exonération du ticket modérateur pour les affections de longue durée (ALD)?,Être en arrêt de travail,Être en congé maternité,Avoir une capacité de travail réduite d'au moins deux tiers,Avoir une ALD reconnue par l'assurance maladie,d
121,OIC-020-01-A,Quelle est la définition de la recherche en santé selon le contenu éducatif?,Toutes les études visant le développement des connaissances biologiques ou médicales pour améliorer la santé,Les études visant à améliorer la qualité de vie des patients,Les études visant à développer des médicaments,Les études visant à améliorer les soins infirmiers,a
122,OIC-020-01-A-,Quel est le niveau de décision dans l'organisation de la recherche en santé en France?,Les agences généralistes comme l’Agence Nationale de la Recherche ANR,Les ministères de la santé et de la recherche,Les organismes nationaux de recherche comme l'INSERM,Les universités et les CHU,b
123,OIC-020-02-A,Quel est l'objectif principal d'une étude selon la méthodologie de la recherche en santé?,Avoir plusieurs objectifs secondaires,Avoir un objectif principal unique,Avoir un objectif principal et plusieurs objectifs secondaires,Avoir plusieurs objectifs principaux,b
124,OIC-020-02-A-,Quelle est la section du protocole qui décrit les critères de jugement de l'étude?,Critères de sélection,Méthodologie de la recherche,Objectifs de l'étude,Calcul et justification du nombre de sujets nécessaire,b
125,OIC-020-03-A-,Quelle est la catégorie de recherche qui ne comporte que des risques et des contraintes minimes pour la personne se prêtant à la recherche?,Recherches interventionnelles (RIPH catégorie 1),Recherches interventionnelles à risques et contraintes minimes (RIPH catégorie 2),Recherches non interventionnelles (RIPH catégorie 3),Recherches expérimentales,b
126,OIC-020-04-B,Quels sont les arguments utiles à la justification d'une problématique de recherche?,Épidémiologiques et économiques,Épidémiologiques et état actuel des connaissances,Économiques et état actuel des connaissances,Épidémiologiques et historiques,b
127,OIC-020-04-B-,Quel document décrit l'ensemble des éléments permettant de justifier l'hypothèse émise par le chercheur?,Le résumé d'un article scientifique,La conclusion d'un article scientifique,Le rationnel d'un protocole d'étude clinique,La discussion d'un article scientifique,c
128,OIC-020-05-B,Quelle est la première étape dans la formulation d'une recherche?,Formulation des hypothèses de recherche,Choix du type d'étude,Recrutement des participants,Analyse des données,a
129,OIC-020-05-B-,Quel est l'objectif principal d'une recherche?,Définir plusieurs objectifs secondaires,Formuler une hypothèse unique et claire,Recruter le plus grand nombre de participants possible,Analyser les données sans hypothèse préalable,b
130,OIC-020-06-B,Quel type d'étude est utilisé pour évaluer l'effet d'une intervention expérimentale sur un phénomène de santé?,Étude descriptive,Étude analytique,Étude expérimentale,Étude diagnostique,c
131,OIC-020-06-B-,Dans quel type d'étude l'objectif est-il de décrire la distribution ou l'évolution de la fréquence des événements de santé et de leurs déterminants dans la population?,Étude expérimentale,Étude analytique,Étude descriptive,Étude diagnostique,c
132,OIC-020-07-B,Quelle est la méthode d'échantillonnage qui garantit une représentation équitable de toutes les strates d'une population?,Sondage aléatoire simple,Sondage stratifié,Sondage en grappes,Recrutement consécutif,b
133,OIC-020-07-B-,Quelle méthode d'échantillonnage est utilisée lorsque la base de sondage n'est pas disponible et que l'on souhaite inclure les individus au fur et à mesure de leur présentation?,Recrutement exhaustif,Recrutement consécutif,Méthode des quotas,Échantillon de convenance,b
134,OIC-020-08-B,Quelle est la principale source de données pour la surveillance des maladies infectieuses en France?,Registres de morbidité,Déclaration obligatoire,Réseau Sentinelles,Statistiques vitales,b
135,OIC-020-08-B-,"Quel système permet de regrouper les données de santé provenant de l’Assurance Maladie, des hôpitaux et du CépiDC en France?",Système National des Données de Santé (SNDS),Entrepôts hospitaliers de données de santé (EDS),Registres de morbidité,Déclaration obligatoire,a
136,OIC-020-09-B,Quel est le critère de jugement principal dans une étude clinique?,Le critère de jugement secondaire,Le critère de substitution,Le critère de jugement principal,Le critère composite,c
137,OIC-020-09-B-,Quel type de critère est utilisé lorsque le recueil du critère le plus pertinent cliniquement n’est pas toujours faisable?,Le critère de jugement principal,Le critère de substitution,Le critère composite,Le critère de jugement secondaire,b
138,OIC-020-10-B,Qu'est-ce qu'une variable aléatoire?,Une fonction qui attribue un nombre à toutes les issues possibles,Une fonction qui attribue un nombre à une seule issue possible,"Une fonction qui attribue un nombre à toutes les issues possibles, mais uniquement pour les variables continues","Une fonction qui attribue un nombre à toutes les issues possibles, mais uniquement pour les variables discrètes",a
139,OIC-020-10-B-,Quelle est la différence entre une variable aléatoire discrète et continue?,"Une variable aléatoire discrète peut prendre des valeurs dans un intervalle continu, tandis qu'une variable aléatoire continue ne peut prendre que des valeurs discrètes","Une variable aléatoire discrète peut prendre des valeurs discrètes, tandis qu'une variable aléatoire continue peut prendre des valeurs dans un intervalle continu","Une variable aléatoire discrète peut prendre des valeurs dans un intervalle continu, tandis qu'une variable aléatoire continue peut prendre des valeurs discrètes","Une variable aléatoire discrète peut prendre des valeurs discrètes, tandis qu'une variable aléatoire continue ne peut prendre que des valeurs dans un intervalle continu",b
140,OIC-020-11-B,Quel est le paramètre de position qui divise un ensemble de valeurs en deux parties de même effectif?,Moyenne,Mode,Médiane,Quartile,c
141,OIC-020-11-B-,Quel est le paramètre de dispersion qui mesure la différence entre la valeur maximale et la valeur minimale d'un ensemble de valeurs?,Variance,Écart-type,Étendue,Distance interquartile,c
142,OIC-020-12-B,Quelle est la probabilité de rejeter l'hypothèse nulle alors qu'elle est vraie?,Puissance du test,Risque de première espèce (alpha),Risque de deuxième espèce (beta),Intervalle de confiance,b
143,OIC-020-12-B-,Quel est l'effet de l'augmentation de la taille de l'échantillon sur la puissance d'un test statistique?,La puissance diminue,La puissance reste inchangée,La puissance augmente,La puissance devient nulle,c
144,OIC-020-13-B-,Quelle est la médiane de survie dans l'exemple de courbe de survie fourni?,3 mois,6 mois,9 mois,12 mois,b
145,OIC-020-14-B,Quelle est la définition de l'ajustement en statistique?,Méthode pour augmenter la taille d'un échantillon,Méthode pour corriger les erreurs de mesure,Méthode pour tenir compte des facteurs de confusion dans une analyse statistique,Méthode pour simplifier les données complexes,c
146,OIC-020-14-B-,Quelle est la différence entre une mesure d'association brute et ajustée?,"La mesure brute est calculée sans tenir compte des facteurs de confusion, tandis que la mesure ajustée tient compte de ces facteurs",La mesure brute est toujours plus précise que la mesure ajustée,"La mesure brute est calculée à partir de données non validées, tandis que la mesure ajustée est calculée à partir de données validées","La mesure brute est utilisée pour les analyses univariées, tandis que la mesure ajustée est utilisée pour les analyses multivariées",a
147,OIC-020-15-B,Quel texte protège les données de santé considérées comme sensibles?,Loi Informatique et Libertés,Code de la santé publique,Règlement européen sur la protection des données personnelles (RGPD),Code pénal,c
148,OIC-020-15-B-,Quel est l'objectif principal de la protection des données de santé sensibles?,Garantir la sécurité des systèmes informatiques,Respecter la vie privée des personnes,Améliorer la qualité des soins,Faciliter l'accès aux données médicales,b
149,OIC-020-16-A,Quel est le terme utilisé pour désigner un facteur associé à une probabilité plus élevée de présence ou de survenue d'un phénomène de santé dans une étude analytique?,Facteur d'exposition,Facteur étiologique,Facteur de risque,Facteur pronostique,c
150,OIC-020-16-A-,"Dans une étude étiologique, quel terme est utilisé pour désigner un facteur dont la nature causale pour le phénomène de santé étudié est supposée ou prouvée?",Facteur d'exposition,Facteur de risque,Facteur étiologique,Facteur pronostique,c
151,OIC-020-17-A,Quelle est la différence entre la population cible et la population source?,"La population cible est celle sur laquelle on s’interroge, et la population source est celle à partir de laquelle l'étude va concrètement se dérouler.","La population cible est celle à partir de laquelle l'étude va concrètement se dérouler, et la population source est celle sur laquelle on s’interroge.","La population cible est celle à partir de laquelle l'étude va concrètement se dérouler, et la population source est celle à partir de laquelle l'étude va concrètement se dérouler.","La population cible est celle sur laquelle on s’interroge, et la population source est celle sur laquelle on s’interroge.",a
