Unnamed: 0,id,question,option_a,option_b,option_c,option_d,correct_option,distractor_quality
103,OIC-019-05-A,"Selon le texte, quel est le principal objectif du traitement antihypertenseur chez une femme enceinte?",Réduire la tension artérielle à un niveau normal.,Éviter les à-coups hypertensifs et limiter les complications maternelles.,Maintenir une tension artérielle élevée pour favoriser le développement du fœtus.,Utiliser des médicaments puissants pour contrôler la tension artérielle.,b,4
104,OIC-019-05-A-,Quel est l'objectif principal de la surveillance renforcée de l'hypertension artérielle (HTA) pendant la grossesse?,Réduire la fréquence des consultations médicales.,Permettre un déclenchement artificiel du travail à tout moment.,Surveiller et gérer l'HTA pour minimiser les complications.,Faciliter l'utilisation d'un carnet de suivi.,c,4
105,OIC-019-06-B,Quel est le principal objectif de la surveillance après l'accouchement en cas d'HTA?,Maintenir une pression artérielle de 150/100 mmHg.,Arrêter complètement le traitement antihypertenseur.,Réduire progressivement le traitement antihypertenseur.,Augmenter la dose du traitement antihypertenseur.,c,4
106,OIC-019-06-B-,Quel est le principal risque de récidive après une grossesse compliquée par une HTA gravidique?,Augmentation de la fréquence cardiaque.,Risque de complications vasculoplacentaires.,Développement de diabète gestationnel.,Augmentation de la taille de l'utérus.,b,4
107,OIC-019-07-B,Quelle est une complication à long terme de l'HTA gravidique?,Hypertension artérielle systémique,Pathologies cardiovasculaires et rénales,Diabète gestationnel,Pré-éclampsie,b,4
108,OIC-019-07-B-,Qu'est-ce qui définit une menace d'accouchement prématuré (MAP) selon le texte?,Douleur pelvienne,Contractions utérines régulières et douloureuses avant 37 SA,Modification cervicale,Fausse couche tardive,b,4
109,OIC-019-08-A-,Quel examen est mentionné pour la recherche d'une rupture prématurée des membranes?,"NFS, CRP",Fibronectine fœtale,IGFBP-1 ou PAMG-1,Groupe Rhésus,c,4
110,OIC-019-09-A,"Selon le texte, quel est le traitement principal pour une menace d'accouchement prématuré?",Antibiotiques uniquement si infection diagnostiquée.,Tocolyse avec inhibiteurs calciques ou antagonistes de l'oxytocine.,Corticothérapie anténatale par bétaméthasone.,Hospitalisation prolongée.,b,4
111,OIC-019-09-A-,Quel est l'objectif principal de la prévention primaire en matière d'accouchement prématuré?,Réaliser un cerclage utérin en prévention.,Supprimer les facteurs de risque.,Effectuer un bilan morphologique de la cavité utérine.,Traiter une vaginose bactérienne.,b,4
112,OIC-019-10-A,Quels sont les signes d'appel évocateurs d'une étiologie spécifique à rechercher lors d'une fièvre pendant la grossesse?,Douleurs lombaires et brûlures mictionnelles,Frissons et syndrome grippal,Rupture prématurée des membranes et leucorrhées,CU et écoulement de LA,a,4
113,OIC-019-10-A-,Quel examen est réalisé en premier cas de fièvre pendant la grossesse?,RCF et tocométrie,ECBU,NFS - CRP,Sérologies selon contexte,b,4
114,OIC-019-11-A,"Quelle est la première ligne de traitement pour une fièvre pendant la grossesse, selon le texte?",Antibiothérapie préventive,Antipyrétique,Surveillance étroite,Traitement spécifique,b,4
115,OIC-019-11-A-,Quelle est une cause fréquente d'hématome rétroplacentaire?,Hypertension artérielle,Diabète gestationnel,Tabagisme,Antécédents de césarienne,a,4
116,OIC-019-12-A,,,,,,,1
117,OIC-019-12-A-,Quel est le premier élément à rechercher lors de l'évaluation d'une femme enceinte présentant une douleur abdominale aiguë?,La température corporelle,La tolérance hémodynamique,La palpation utérine,La bandelette urinaire,b,4
118,OIC-019-13-B,Quel est le premier geste à effectuer en cas de douleur abdominale aiguë chez une femme enceinte?,Réaliser une échographie abdominale complète.,Administrer un analgésique en vente libre.,Évaluer l'état général de la patiente et rechercher des signes de choc.,Envoyer la patiente directement à l'hôpital.,c,4
119,OIC-019-13-B-,Quelle est la raison pour laquelle une dilation pyélocalicielle modérée est fréquemment observée en cours de grossesse?,Elle est due à une infection urinaire.,Elle est due à la dextro-rotation de l'utérus.,Elle est due à une grossesse extra-utérine.,Elle est due à une torsion de l'oviducte.,b,4
120,OIC-020-01-A,Qu'est-ce que l'infection materno-fœtale (IMF)?,Une infection du fœtus causée par des germes d'origine fœtale.,Une infection du fœtus causée par des germes d'origine maternelle.,Une infection du fœtus causée par des germes d'origine fœtale et maternelle.,"Une infection du fœtus causée par des germes d'origine fœtale et maternelle, et qui se manifeste dès la naissance.",b,4
121,OIC-020-01-A-,Quelle est la première cause d'infection néonatale bactérienne précoce?,Listériose,Escherichia coli,Streptocoque groupe B,Treponema pallidum,c,4
122,OIC-020-02-A-,"Selon le texte, quelle est la transmission materno-fœtale la plus élevée?",Périconceptionnelle,2e trimestre,3e trimestre,1er trimestre,c,4
123,OIC-020-03-A,Quelle est la raison principale de la surveillance mensuelle de la sérologie de la toxoplasmose chez les femmes enceintes non immunisées?,Pour détecter les cas de toxoplasmose congénitale.,Pour évaluer l'efficacité des traitements anti-toxoplasmose.,Pour identifier les femmes ayant une immunité maternelle antérieure.,Pour surveiller l'évolution de l'infection et la date de sa survenue.,d,4
124,OIC-020-03-A-,Quelle est la principale mesure de prévention primaire contre la toxoplasmose?,Consommer de la viande crue.,Se laver les mains avant de manger.,Éviter les chats.,Ne pas se laver les mains après avoir touché de la terre.,b,4
125,OIC-020-04-B-,Quel est l'objectif principal de la vaccination antirubéolique pendant la grossesse?,Protéger la mère contre la rubéole.,Prévenir la rubéole congénitale.,Contrôler l'efficacité de la vaccination par sérologie.,Éviter les éruptions cutanées.,b,4
126,OIC-020-05-B,Qu'est-ce que la rougeole materno-fœtale?,Une infection virale qui affecte le fœtus.,Une maladie qui se transmet de la mère au fœtus.,Une réaction allergique à une vaccination.,Une condition génétique héréditaire.,b,4
127,OIC-020-05-B-,Quelle est une conséquence fœtale de la rougeole pendant la grossesse?,Augmentation du risque de malformations congénitales,Pas d’augmentation du risque de fausse couche,Risque accru de fausse couche et de mort fœtale,Pas d’augmentation du risque de prématurité,c,4
128,OIC-020-06-B,"En cas de contage avéré de rougeole chez une femme enceinte non vaccinée, quelle est la première étape à suivre?",Mettre en place des mesures de prévention de la transmission.,Rechercher un contage.,Vérifier le statut vaccinal de la patiente (carnet de santé).,Confirmer biologiquement le diagnostic : RT-PCR salivaire et/ou recherche d’IgM spécifiques dans la salive/le sérum.,c,4
129,OIC-020-06-B-,Quelle est la principale conséquence de l'infection maternelle à CMV?,Augmentation de la taille de la prostate,Perte auditive neurosensorielle et retard mental,Diminution de la fertilité,Augmentation de la pression artérielle,b,4
130,OIC-020-07-B,Quel est le principal mode de contamination de l'herpès néonatal sévère?,Contamination pendant la grossesse maternelle,Contamination pendant l'accouchement par la filière génitale infectée,Contamination postnatale à partir d'un herpès maternel,Contamination par le contact avec des surfaces contaminées,b,4
131,OIC-020-07-B-,Quel est le traitement recommandé en cas de primo-infection à l'herpès génital pendant la grossesse?,Aciclovir 1g en 5 prises pendant 5 jours,Valaciclovir 2g en 2 prises pendant 10 jours,Aciclovir 1g en 5 prises ou valaciclovir 2g en 2 prises pendant 5 à 10 jours,"Pas de traitement, observation seule",c,4
132,OIC-020-08-B,Quelle est la principale voie de transmission de l'infection à VHB materno-fœtale?,Accouchement par voie basse,Accouchement par césarienne,Per- et post-natale,Transmission verticale uniquement,c,4
133,OIC-020-08-B-,Quel est l'un des éléments de prévention fœtale contre le virus de l'hépatite B (VHB)?,La vaccination des femmes à risque pendant la grossesse.,Le dépistage de l'hépatite B dès la déclaration de la grossesse.,La sérovaccination du nouveau-né chez les mères antigène HBs+.,La césarienne pour cette infection.,c,4
134,OIC-020-09-B,Quel est le moment idéal pour proposer le dépistage du VIH à une femme enceinte?,À la fin de la grossesse,Au début de la grossesse,Si la femme en fait la demande,Lors de la déclaration de grossesse,b,4
135,OIC-020-09-B-,"Selon le texte, quelle est la séroprévalence de la varicelle chez la femme enceinte?",10%,"98,8%",50%,100%,b,4
136,OIC-020-10-B,Quelle est la première étape de l'infection de la listériose chez le nouveau-né?,Infection des poumons,Colonisation du placenta,Infection des reins,Infection du système nerveux central,b,4
137,OIC-020-10-B-,Quel aliment est à éviter pendant la grossesse pour prévenir la listériose materno-fœtale (MF)?,Fromages à pâte dure,Fromages à pâte molle au lait cru,Fruits frais,Légumes cuits,b,4
138,OIC-020-11-B,Quels prélèvements sont réalisés chez le nouveau-né pour isoler le germe de listériose?,Placenta et lochies,Sang et liquide céphalorachidien,Placenta et liquide gastrique,Liquide céphalorachidien et liquide gastrique,b,4
139,OIC-020-11-B-,Quelle est la voie principale de transmission du streptocoque B du portage vaginal maternel au fœtus?,Par voie aérobie,Par voie cutanée,Par voie vaginale,Par voie intestinale,c,4
140,OIC-020-12-B,Quel est le traitement de première intention pour la vaginose bactérienne à Gardnerella vaginalis pendant la grossesse?,Aciclovir,Fluconazole,Métronidazole,Clindamycine,c,4
141,OIC-020-13-B,Quelle est la principale recommandation pour la prévention de la grippe pendant la grossesse?,Ne pas se faire vacciner contre la grippe.,Se faire vacciner contre la grippe avec un vaccin antigrippal inactivé.,Se faire vacciner contre la grippe avec un vaccin antigrippal vivant atténué.,Se faire vacciner contre la grippe avec un vaccin antigrippal recombinant.,b,4
142,OIC-020-13-B-,Quelle est la principale conséquence de l'allo-immunisation antiérythrocytaire?,Augmentation du nombre de globules rouges fœtaux.,Anémie fœtale.,Augmentation du volume sanguin maternel.,Diminution de la production d'anticorps maternels.,b,4
143,OIC-020-14-B,Quel est le moment de la grossesse où les RAI sont prescrites pour les femmes Rhésus D négatif ou précédemment transfusées?,1er trimestre,6e mois,8e ou 9e mois,3e trimestre,c,4
144,OIC-020-15-B,Quel est le principal objectif de la prophylaxie anti-D?,Prévenir l'allo-immunisation antiérythrocytaire chez la mère.,Détecter les infections maternelles.,Prévenir les complications liées à l'irradiation.,Évaluer le génotype RhD du nouveau-né.,a,4
